House Number,ข้อมูลการใช้ไฟฟ้า,ข้อมูลการใช้น้ำบริโภค-แหล่งที่มา,ข้อมูลการใช้น้ำบริโภค,ข้อมูลการใช้น้ำอุปโภค-แหล่งที่มา,ข้อมูลการใช้น้ำอุปโภค,ลักษณะของบ้าน,จำนวนที่ดินทำกิน (ไร่)-เป็นเจ้าของ,จำนวนที่ดินทำกิน (ไร่)-เช่า
21,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,บ่อน้ำส่วนตัว,มีใช้ตลอดปี,บ้านสองชั้น,40,
23,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำบาดาล",มีใช้ตลอดปี,บ้านชั้นเดียวยกพื้น,32,
24,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,20,
25,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,20,
26,มีและมีหม้อมิเตอร์เอง,ประปา,,ประปา,,บ้านสองชั้น,9,
27,มีและมีหม้อมิเตอร์เอง,สหกรณ์,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านสองชั้น,25-30,
28,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำบาดาล",มีใช้ตลอดปี,บ้านสองชั้น,7,
29,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้เป็นช่วงๆ(ฤดูแล้งไม่มีใช้),บ้านสองชั้น,4,
30,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,ประปา,มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,,
32,มีและมีหม้อมิเตอร์เอง,ซื้อ,มีดื่มตลอดปี,"ประปา,น้ำจากลำธาร",มีใช้ตลอดปี,บ้านชั้นเดียวติดพื้น,,
